ミクたんのテーマ	OSTER project,OSTER project
恋スルVOC@LOID	OSTER project,OSTER project,OSTER project,片想イVOC@LOID
大好き！お兄ちゃん！	めたはあ,めたはあ,めたはあ
猫になった日	ぬくもりP,ぬくもりP,ぬくもりP
Packaged	kz,kz,kz,ChordWiki - Packaged
仕方ないのよね	フナコシP,フナコシP,フナコシP
1枚のはね	Crea,Crea,Crea
White Letter　GonGoss	GonGoss,GonGoss,GonGoss
みくみくにしてあげる♪	ika,ika,ika
あなたの歌姫	azuma,azuma,azuma
宝物	吟遊詩人,Azell,Azell
シューティング☆スター　かじゅきP	yae,かじゅきP,かじゅきP,Re:Package
moon　iroha	はっか,iroha,iroha,iroha,KarenT,なぎみそ
I Sing For You　haruno-suke	haruno-suke,haruno-suke,haruno-suke
おしえて！だぁりん	ソレナンテP,ソレナンテP,ソレナンテP
恋愛ボーカロイド	Dog tails,Dog tails,Dog tails
BEST FRIENDS	ゆっき～♪,Azell,Azell
この想い伝えたくて～ココロノ花ビラ～	鼻毛P,鼻毛P,鼻毛P
この想い伝えたくて～花びら乱舞～	鼻毛P,鼻毛P,鼻毛P
ハジメテノオト	malo,malo,malo
celluloid	baker,baker,baker
タイムリミット	畳P（North-T）,畳P（North-T）,畳P（North-T）
Shining Rain	うｐ主
ストラトスフィア	orange,うたたP,うたたP
ストロボナイツ	yae,kz,kz
メルト	ryo,ryo,ryo
melody...	mikuru396,mikuru396,mikuru396
アド・アストラ	orange,うたたP,うたたP
リラホルン	Elina,yae,かじゅきP,かじゅきP
金の聖夜霜雪に朽ちて	デッドボールP,デッドボールP,デッドボールP
Daybreak　samfree	samfree,samfree,samfree
忘れないで・・・	たかP,たかP,たかP
永久に続く五線譜	デッドボールP,デッドボールP,デッドボールP
saturation	Harmonia,fatP,fatP
きみの体温（ぬくもり）	ぬくもりP,ぬくもりP,ぬくもりP
Chocolate☆Magic -ドキドキ大作戦-	OSTER project,OSTER project,OSTER project
Dreaming Leaf -ユメミルコトノハ-	OSTER project,OSTER project,OSTER project
月の詩	くらP,くらP,くらP
Happy*Happy Magic	てつやP
消えない記憶	消えないP,消えないP,消えないP
雲の遺跡	yanagiP,yanagiP,yanagiP
誰かにひとりごと	文鳥P,文鳥P,文鳥P
初音ミクの消失	cosMo（暴走P）,cosMo（暴走P）,cosMo（暴走P）
Initiation　セセラギP	セセラギP,セセラギP,セセラギP
魚に逆らうからさ！！	大丈夫P,大丈夫P,大丈夫P
Cocktail and Lovers' Night	イントロP,イントロP,イントロP
Dies Irae－蜥蜴の唄－	riria009,チューハイP,チューハイP
ガーネットローズ	riria009,音痴P,音痴P
いつかギラギラする日	kyoki,kyoki,kyoki
願い　アップルP	アップルP,アップルP,アップルP
灰雪ガス	ZMONI,ZMONI,ZMONI
えれくとりっく・えんじぇぅ	ヤスオP,ヤスオP,ヤスオP
夜祭	夜祭P,夜祭P,夜祭P
ミクのオルゴール	はややP,はややP,はややP
あなたがいるから-Monitor of Love-	そそそP,そそそP,そそそP
夕闇メロディ	夕闇P,夕闇P,夕闇P
つないだ手	mikuru396,mikuru396
私の時間	くちばしP,くちばしP,くちばしP
Holy Star	Kou,Kou,Kou,ピアプロ
わたしのツバサ	Stingray,Stingray,Stingray,PIAPRO
サウンド	baker,baker,baker
ミラクルペイント	OSTER project,OSTER project,OSTER project
ファインダー	kz,kz
はるか　くらP	くらP,くらP,銀サク
Promise　samfree	samfree,samfree,samfree
初音型依存症候群	Revin,Revin,Revin
My first X'mas	キラ星ひかる3,キラ星ひかる3,キラ星ひかる3
初音ミクの暴走	cosMo（暴走P）,cosMo（暴走P）,cosMo（暴走P）
森の中の赤い川　
歌詞を乱数で生成した歌	乱数P,乱数P,乱数P
ハト	秦野P,秦野P,秦野P
なぜか変換できない	乱数P,乱数P,乱数P
もっと歌わせて2107	ワンカップP,ワンカップP,ワンカップP
さよなら　林檎	林檎,林檎,林檎
おやすみのうた	OSTER project,OSTER project,OSTER project
ウタエナイウタ	bicco,bicco,bicco
桜の季節	ゆうゆ,ゆうゆ,ゆうゆ
廻り出すセカイ	kei,gomezP,gomezP
片想イVOC@LOID	OSTER project,OSTER project,OSTER project
流星　流星P	流星P,流星P,流星P
サイハテ	小林オニキス,小林オニキス,こちら
星空に願いを込めて ～Good Night	tomoP,tomoP,tomoP
近未来都市	涼風涼雨,涼風涼雨,涼風涼雨
歌に形はないけれど	doriko,doriko,doriko
白の季節	ゆうゆ,ゆうゆ,ゆうゆ
機械仕掛の詩	らぶざわP,らぶざわP,らぶざわP
クローバー♣クラブ	ゆうゆ,ゆうゆ,ゆうゆ
恋するキカイ	you-tP,you-tP,you-tP
Fly away,Gray bird...	frogman,frogman,frogman
ぶちぬけ！2008！	doriko,doriko,doriko
Forgotten...	オレP,オレP,オレP
輝く希望の謳	シンP,シンP,シンP
夜明けの空	TACHE,TACHE,TACHE
アンチェインド・メモリー	小林オニキス,小林オニキス,小林オニキス
伝えたいきもち	ぽこたんP,ぽこたんP,ぽこたんP
桜のような恋でした	samfree,samfree,samfree
涙にさよなら	ぱきら,ぱきら,ぱきら,ピアプロ
きみをわすれない	ryo,ryo,ryo
金色のアリス	jas39,TzTech,TzTech
ソラノカナタ　ソライロP	ソライロP,ソライロP,ソライロP
体の調子おかしいの	フナコシP,フナコシP,フナコシP
Innocence　KazuP	KazuP,KazuP,KazuP,PIAPRO
Little M	YS（クリアP）,YS（クリアP）,YS（クリアP）
あるお節介な言葉	くちばしP,くちばしP,くちばしP
今ボクの中にある小さな勇気	PON,PON
電脳スキル	cosMo（暴走P）,cosMo（暴走P）,cosMo（暴走P）,レンxミクの電・脳☆スキル!!,デンノウス・キルズ
スマイリーxスマイリー	GonGoss,GonGoss
ネギの祀り謳	waraP,waraP,waraP
みくみく菌にご注意♪	はややP,はややP,はややP,作者ブログ
ぴんぽんだっしゅ！	はややP,はややP,はややP,作者ブログ
うたごえぐるぐる	はややP,はややP,はややP,作者ブログ
雪の雫	ドジっ子P,ドジっ子P,ドジっ子P
ONPA -音波-	蒼P,蒼P,蒼P
サクラ咲ク	doll,Tuna,Tuna,ピアプロ
ビー玉	流星P,流星P,流星P
